country_code,region_code,region_name,commune_code,commune_name,display_order
"CL","15","Arica y Parinacota","15101","Arica",1
"CL","15","Arica y Parinacota","15102","Camarones",2
"CL","15","Arica y Parinacota","15202","General Lagos",3
"CL","15","Arica y Parinacota","15201","Putre",4
"CL","01","Tarapacá","01107","Alto Hospicio",1
"CL","01","Tarapacá","01402","Camiña",2
"CL","01","Tarapacá","01403","Colchane",3
"CL","01","Tarapacá","01404","Huara",4
"CL","01","Tarapacá","01101","Iquique",5
"CL","01","Tarapacá","01405","Pica",6
"CL","01","Tarapacá","01401","Pozo Almonte",7
"CL","02","Antofagasta","02101","Antofagasta",1
"CL","02","Antofagasta","02201","Calama",2
"CL","02","Antofagasta","02302","María Elena",3
"CL","02","Antofagasta","02102","Mejillones",4
"CL","02","Antofagasta","02202","Ollagüe",5
"CL","02","Antofagasta","02203","San Pedro de Atacama",6
"CL","02","Antofagasta","02103","Sierra Gorda",7
"CL","02","Antofagasta","02104","Taltal",8
"CL","02","Antofagasta","02301","Tocopilla",9
"CL","03","Atacama","03302","Alto del Carmen",1
"CL","03","Atacama","03102","Caldera",2
"CL","03","Atacama","03201","Chañaral",3
"CL","03","Atacama","03101","Copiapó",4
"CL","03","Atacama","03202","Diego de Almagro",5
"CL","03","Atacama","03303","Freirina",6
"CL","03","Atacama","03304","Huasco",7
"CL","03","Atacama","03103","Tierra Amarilla",8
"CL","03","Atacama","03301","Vallenar",9
"CL","04","Coquimbo","04103","Andacollo",1
"CL","04","Coquimbo","04202","Canela",2
"CL","04","Coquimbo","04302","Combarbalá",3
"CL","04","Coquimbo","04102","Coquimbo",4
"CL","04","Coquimbo","04201","Illapel",5
"CL","04","Coquimbo","04104","La Higuera",6
"CL","04","Coquimbo","04101","La Serena",7
"CL","04","Coquimbo","04203","Los Vilos",8
"CL","04","Coquimbo","04303","Monte Patria",9
"CL","04","Coquimbo","04301","Ovalle",10
"CL","04","Coquimbo","04105","Paiguano",11
"CL","04","Coquimbo","04304","Punitaqui",12
"CL","04","Coquimbo","04305","Río Hurtado",13
"CL","04","Coquimbo","04204","Salamanca",14
"CL","04","Coquimbo","04106","Vicuña",15
"CL","05","Valparaíso","05602","Algarrobo",1
"CL","05","Valparaíso","05402","Cabildo",2
"CL","05","Valparaíso","05502","Calera",3
"CL","05","Valparaíso","05302","Calle Larga",4
"CL","05","Valparaíso","05603","Cartagena",5
"CL","05","Valparaíso","05102","Casablanca",6
"CL","05","Valparaíso","05702","Catemu",7
"CL","05","Valparaíso","05103","Concón",8
"CL","05","Valparaíso","05604","El Quisco",9
"CL","05","Valparaíso","05605","El Tabo",10
"CL","05","Valparaíso","05503","Hijuelas",11
"CL","05","Valparaíso","05201","Isla de Pascua",12
"CL","05","Valparaíso","05104","Juan Fernández",13
"CL","05","Valparaíso","05504","La Cruz",14
"CL","05","Valparaíso","05401","La Ligua",15
"CL","05","Valparaíso","05802","Limache",16
"CL","05","Valparaíso","05703","Llaillay",17
"CL","05","Valparaíso","05301","Los Andes",18
"CL","05","Valparaíso","05506","Nogales",19
"CL","05","Valparaíso","05803","Olmué",20
"CL","05","Valparaíso","05704","Panquehue",21
"CL","05","Valparaíso","05403","Papudo",22
"CL","05","Valparaíso","05404","Petorca",23
"CL","05","Valparaíso","05105","Puchuncaví",24
"CL","05","Valparaíso","05705","Putaendo",25
"CL","05","Valparaíso","05501","Quillota",26
"CL","05","Valparaíso","05801","Quilpué",27
"CL","05","Valparaíso","05107","Quintero",28
"CL","05","Valparaíso","05303","Rinconada",29
"CL","05","Valparaíso","05601","San Antonio",30
"CL","05","Valparaíso","05304","San Esteban",31
"CL","05","Valparaíso","05701","San Felipe",32
"CL","05","Valparaíso","05706","Santa María",33
"CL","05","Valparaíso","05606","Santo Domingo",34
"CL","05","Valparaíso","05101","Valparaíso",35
"CL","05","Valparaíso","05804","Villa Alemana",36
"CL","05","Valparaíso","05109","Viña del Mar",37
"CL","05","Valparaíso","05405","Zapallar",38
"CL","13","Metropolitana de Santiago","13502","Alhué",1
"CL","13","Metropolitana de Santiago","13402","Buin",2
"CL","13","Metropolitana de Santiago","13403","Calera de Tango",3
"CL","13","Metropolitana de Santiago","13102","Cerrillos",4
"CL","13","Metropolitana de Santiago","13103","Cerro Navia",5
"CL","13","Metropolitana de Santiago","13301","Colina",6
"CL","13","Metropolitana de Santiago","13104","Conchalí",7
"CL","13","Metropolitana de Santiago","13503","Curacaví",8
"CL","13","Metropolitana de Santiago","13105","El Bosque",9
"CL","13","Metropolitana de Santiago","13602","El Monte",10
"CL","13","Metropolitana de Santiago","13106","Estación Central",11
